省份,城市名称,城市级别,常住人口(万人)
内蒙古自治区,呼伦贝尔市,二线,248
内蒙古自治区,鄂尔多斯市,二线,215
内蒙古自治区,赤峰市,二线,430
内蒙古自治区,通辽市,二线,312
四川省,凉山彝族自治州,二线,484
陕西省,榆林市,二线,370
广西壮族自治区,百色市,二线,350
广西壮族自治区,河池市,二线,335
云南省,大理白族自治州,二线,349
贵州省,黔东南苗族侗族自治州,二线,362
黑龙江省,齐齐哈尔市,二线,524
贵州省,黔南布依族苗族自治州,二线,325
陕西省,汉中市,二线,341
云南省,保山市,二线,260
黑龙江省,大庆市,二线,281
湖北省,十堰市,二线,334
福建省,龙岩市,二线,271
云南省,红河哈尼族彝族自治州,二线,476
广东省,韶关市,二线,281
辽宁省,丹东市,二线,234
吉林省,吉林市,二线,419
云南省,玉溪市,二线,231
贵州省,黔西南布依族苗族自治州,二线,280
湖南省,怀化市,二线,472
辽宁省,本溪市,二线,147
山西省,吕梁市,二线,373
辽宁省,抚顺市,二线,199
广西壮族自治区,桂林市,二线,493
贵州省,铜仁市,二线,330
湖北省,宜昌市,二线,406
江西省,吉安市,二线,489
广东省,清远市,二线,374
广东省,河源市,二线,307
云南省,曲靖市,二线,570
山西省,晋中市,二线,337
江西省,抚州市,二线,389
陕西省,宝鸡市,二线,375
山西省,临汾市,二线,433
贵州省,遵义市,二线,689
广西壮族自治区,柳州市,二线,422
甘肃省,天水市,二线,330
广西壮族自治区,梧州市,二线,290
江西省,赣州市,二线,913
湖北省,荆门市,二线,287
云南省,昭通市,二线,537
山西省,大同市,二线,330
湖南省,永州市,二线,527
广东省,梅州市,二线,374
山西省,长治市,二线,333
贵州省,毕节市,二线,651
湖南省,郴州市,二线,470
四川省,绵阳市,二线,494
福建省,宁德市,二线,330
四川省,乐山市,二线,322
湖北省,咸宁市,二线,250
安徽省,六安市,二线,467
江西省,九江市,二线,498
贵州省,安顺市,二线,254
广东省,肇庆市,二线,412
山东省,东营市,二线,221
安徽省,安庆市,二线,433
湖北省,襄阳市,二线,557
辽宁省,锦州市,二线,287
江西省,上饶市,二线,655
广西壮族自治区,钦州市,二线,318
江西省,宜春市,二线,553
安徽省,滁州市,二线,413
湖南省,常德市,二线,570
宁夏回族自治区,银川市,二线,286
贵州省,六盘水市,二线,317
广东省,云浮市,二线,249
河南省,信阳市,二线,623
湖南省,益阳市,二线,413
四川省,达州市,二线,556
辽宁省,盘锦市,二线,139
山西省,运城市,二线,488
广东省,阳江市,二线,275
四川省,宜宾市,二线,463
湖北省,黄冈市,二线,615
湖南省,株洲市,二线,398
河南省,南阳市,二线,967
辽宁省,鞍山市,二线,343
湖北省,荆州市,二线,529
湖南省,岳阳市,二线,572
江苏省,盐城市,二线,671
陕西省,渭南市,二线,521
河北省,秦皇岛市,二线,312
福建省,漳州市,二线,505
湖南省,邵阳市,二线,836
山东省,滨州市,二线,389
四川省,泸州市,二线,504
四川省,眉山市,二线,295
河北省,保定市,二线,923
辽宁省,营口市,二线,229
陕西省,咸阳市,二线,430
河南省,洛阳市,二线,712
湖南省,衡阳市,二线,722
河南省,驻马店市,二线,715
广东省,江门市,二线,480
广西壮族自治区,贵港市,二线,537
山东省,威海市,二线,294
河北省,沧州市,二线,731
四川省,南充市,二线,639
江苏省,淮安市,二线,492
四川省,广安市,二线,325
湖南省,娄底市,二线,418
山东省,烟台市,二线,710
海南省,三亚市,二线,100
广东省,惠州市,二线,604
山东省,德州市,二线,558
湖北省,黄石市,二线,247
湖南省,湘潭市,二线,272
安徽省,宿州市,二线,533
广西壮族自治区,玉林市,二线,700
湖北省,孝感市,二线,491
安徽省,蚌埠市,二线,329
广西壮族自治区,北海市,二线,185
山东省,日照市,二线,298
安徽省,马鞍山市,二线,231
浙江省,湖州市,二线,334
广东省,湛江市,二线,695
江苏省,宿迁市,二线,492
山东省,潍坊市,二线,930
广东省,茂名市,二线,663
河北省,邢台市,二线,729
四川省,德阳市,二线,350
安徽省,亳州市,二线,502
安徽省,芜湖市,二线,364
江苏省,连云港市,二线,453
安徽省,淮南市,二线,337
四川省,自贡市,二线,270
四川省,遂宁市,二线,329
河南省,平顶山市,二线,487
广东省,汕尾市,二线,302
浙江省,绍兴市,二线,527
山东省,临沂市,二线,1101
浙江省,金华市,二线,705
四川省,内江市,二线,352
河南省,商丘市,二线,732
山东省,聊城市,二线,600
河南省,安阳市,二线,510
河南省,新乡市,二线,574
浙江省,台州市,二线,661
江苏省,扬州市,二线,463
山东省,泰安市,二线,549
山东省,菏泽市,二线,870
河南省,开封市,二线,456
山东省,济宁市,二线,837
河南省,周口市,二线,896
安徽省,淮北市,二线,213
江苏省,徐州市,二线,909
山东省,淄博市,二线,470
河北省,邯郸市,二线,954
江苏省,泰州市,二线,466
浙江省,温州市,二线,957
福建省,莆田市,二线,308
江苏省,镇江市,二线,322
安徽省,阜阳市,二线,820
山东省,枣庄市,二线,384
广东省,潮州市,二线,270
河北省,廊坊市,二线,552
河南省,焦作市,二线,345
河南省,濮阳市,二线,365
河南省,许昌市,二线,436
江苏省,南通市,二线,771
广东省,揭州市,二线,617
海南省,海口市,二线,290
浙江省,嘉兴市,二线,547
广东省,中山市,二线,446
广东省,汕头市,二线,554
河北省,雄安新区,其他,120
西藏自治区,阿里地区,三线,12
内蒙古自治区,阿拉善盟,三线,24
西藏自治区,那曲市,三线,50
青海省,玉树藏族自治州,三线,39
青海省,海西蒙古族藏族自治州,三线,51
西藏自治区,林芝市,三线,24
新疆维吾尔自治区,巴音郭楞蒙古自治州,三线,127
青海省,果洛藏族自治州,三线,21
西藏自治区,日喀则市,三线,70
新疆维吾尔自治区,哈密市,三线,62
西藏自治区,山南市,三线,37
内蒙古自治区,锡林郭勒盟,三线,104
新疆维吾尔自治区,图木舒克市,三线,13
新疆维吾尔自治区,阿勒泰地区,三线,66
黑龙江省,大兴安岭地区,三线,51
甘肃省,酒泉市,三线,110
西藏自治区,昌都市,三线,78
四川省,甘孜藏族自治州,三线,113
青海省,海北藏族自治州,三线,30
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,三线,64
新疆维吾尔自治区,吐鲁番市,三线,64
新疆维吾尔自治区,塔城地区,三线,96
新疆维吾尔自治区,和田地区,三线,247
青海省,海南藏族自治州,三线,46
四川省,阿坝藏族羌族自治州,三线,92
青海省,黄南藏族自治州,三线,27
新疆维吾尔自治区,昌吉回族自治州,三线,117
云南省,迪庆藏族自治州,三线,42
甘肃省,甘南藏族自治州,三线,73
新疆维吾尔自治区,博尔塔拉蒙古自治州,三线,48
新疆维吾尔自治区,阿克苏地区,三线,262
黑龙江省,黑河市,三线,152
内蒙古自治区,巴彦淖尔市,三线,155
新疆维吾尔自治区,喀什地区,三线,451
